"","...1","Station_No","Station_Name","Year","Month","Day","date","P_manuel","P_omgi","Temp"
"1",1,17015,"AK?AKOCA",2009,1,1,2009-01-01,2.7,3,2
"2",10,17015,"AK?AKOCA",2009,1,10,2009-01-10,NA,0,0.3
"3",100,17015,"AK?AKOCA",2009,4,10,2009-04-10,NA,0,7.5
"4",101,17015,"AK?AKOCA",2009,4,11,2009-04-11,NA,0,6.7
"5",102,17015,"AK?AKOCA",2009,4,12,2009-04-12,NA,0,8.3
"6",103,17015,"AK?AKOCA",2009,4,13,2009-04-13,NA,0,7.4
"7",104,17015,"AK?AKOCA",2009,4,14,2009-04-14,NA,0,10.5
"8",105,17015,"AK?AKOCA",2009,4,15,2009-04-15,0.7,0.4,10.6
"9",106,17015,"AK?AKOCA",2009,4,16,2009-04-16,NA,0,10.4
"10",107,17015,"AK?AKOCA",2009,4,17,2009-04-17,NA,0.4,10.7
"11",108,17015,"AK?AKOCA",2009,4,18,2009-04-18,NA,0,8.7
"12",109,17015,"AK?AKOCA",2009,4,19,2009-04-19,NA,0,12.7
"13",11,17015,"AK?AKOCA",2009,1,11,2009-01-11,NA,0,3.8
"14",110,17015,"AK?AKOCA",2009,4,20,2009-04-20,NA,0,12.7
"15",111,17015,"AK?AKOCA",2009,4,21,2009-04-21,NA,0,10.9
"16",112,17015,"AK?AKOCA",2009,4,22,2009-04-22,NA,0,10.5
"17",113,17015,"AK?AKOCA",2009,4,23,2009-04-23,14.2,11.4,8.9
"18",114,17015,"AK?AKOCA",2009,4,24,2009-04-24,4.3,4.4,9
"19",115,17015,"AK?AKOCA",2009,4,25,2009-04-25,NA,0,7.3
"20",116,17015,"AK?AKOCA",2009,4,26,2009-04-26,NA,0,8.6
"21",117,17015,"AK?AKOCA",2009,4,27,2009-04-27,0.9,0.8,8.5
"22",118,17015,"AK?AKOCA",2009,4,28,2009-04-28,7.7,7.6,8.3
"23",119,17015,"AK?AKOCA",2009,4,29,2009-04-29,NA,0.2,9.1
"24",12,17015,"AK?AKOCA",2009,1,12,2009-01-12,2.6,2.8,2.4
"25",120,17015,"AK?AKOCA",2009,4,30,2009-04-30,2.2,1.6,13.4
"26",121,17015,"AK?AKOCA",2009,5,1,2009-05-01,NA,0.2,14
"27",122,17015,"AK?AKOCA",2009,5,2,2009-05-02,13.8,11.8,11.8
"28",123,17015,"AK?AKOCA",2009,5,3,2009-05-03,8.8,9,11.7
"29",124,17015,"AK?AKOCA",2009,5,4,2009-05-04,NA,0.2,10.6
"30",125,17015,"AK?AKOCA",2009,5,5,2009-05-05,4.9,4.6,12.1
"31",126,17015,"AK?AKOCA",2009,5,6,2009-05-06,0.4,0.2,13.3
"32",127,17015,"AK?AKOCA",2009,5,7,2009-05-07,NA,0,12.8
"33",128,17015,"AK?AKOCA",2009,5,8,2009-05-08,1,1,14.8
"34",129,17015,"AK?AKOCA",2009,5,9,2009-05-09,NA,0,13.3
"35",13,17015,"AK?AKOCA",2009,1,13,2009-01-13,NA,0,1.7
"36",130,17015,"AK?AKOCA",2009,5,10,2009-05-10,NA,0,13.2
"37",131,17015,"AK?AKOCA",2009,5,11,2009-05-11,NA,0,13.6
"38",132,17015,"AK?AKOCA",2009,5,12,2009-05-12,NA,0,14
"39",133,17015,"AK?AKOCA",2009,5,13,2009-05-13,NA,0,16.4
"40",134,17015,"AK?AKOCA",2009,5,14,2009-05-14,0.2,0,17.3
"41",135,17015,"AK?AKOCA",2009,5,15,2009-05-15,NA,0,18.2
"42",136,17015,"AK?AKOCA",2009,5,16,2009-05-16,NA,0.6,19.9
"43",137,17015,"AK?AKOCA",2009,5,17,2009-05-17,NA,0,20.4
"44",138,17015,"AK?AKOCA",2009,5,18,2009-05-18,NA,0,18.6
"45",139,17015,"AK?AKOCA",2009,5,19,2009-05-19,NA,0,17.5
"46",14,17015,"AK?AKOCA",2009,1,14,2009-01-14,NA,0,2.8
"47",140,17015,"AK?AKOCA",2009,5,20,2009-05-20,1.5,1.6,15.3
"48",141,17015,"AK?AKOCA",2009,5,21,2009-05-21,0.4,0.4,15.8
"49",142,17015,"AK?AKOCA",2009,5,22,2009-05-22,0.6,0.4,16.2
"50",143,17015,"AK?AKOCA",2009,5,23,2009-05-23,0.3,0.2,16.2
"51",144,17015,"AK?AKOCA",2009,5,24,2009-05-24,1.5,1.4,16.4
"52",145,17015,"AK?AKOCA",2009,5,25,2009-05-25,0.2,0.4,14.6
"53",146,17015,"AK?AKOCA",2009,5,26,2009-05-26,NA,0,14.8
"54",147,17015,"AK?AKOCA",2009,5,27,2009-05-27,2.1,1.2,14.1
"55",148,17015,"AK?AKOCA",2009,5,28,2009-05-28,NA,0.2,14.7
"56",149,17015,"AK?AKOCA",2009,5,29,2009-05-29,NA,0,15.2
"57",15,17015,"AK?AKOCA",2009,1,15,2009-01-15,1.9,1.4,8.4
"58",150,17015,"AK?AKOCA",2009,5,30,2009-05-30,NA,0,16.5
"59",151,17015,"AK?AKOCA",2009,5,31,2009-05-31,NA,0,18.3
"60",152,17015,"AK?AKOCA",2009,6,1,2009-06-01,NA,0,18.2
"61",153,17015,"AK?AKOCA",2009,6,2,2009-06-02,NA,0,18.5
"62",154,17015,"AK?AKOCA",2009,6,3,2009-06-03,0.4,0.4,24.2
"63",155,17015,"AK?AKOCA",2009,6,4,2009-06-04,NA,0,20
"64",156,17015,"AK?AKOCA",2009,6,5,2009-06-05,26.6,26.2,19.3
"65",157,17015,"AK?AKOCA",2009,6,6,2009-06-06,NA,0.2,19.1
"66",158,17015,"AK?AKOCA",2009,6,7,2009-06-07,NA,0,19.4
"67",159,17015,"AK?AKOCA",2009,6,8,2009-06-08,NA,0,19.7
"68",16,17015,"AK?AKOCA",2009,1,16,2009-01-16,NA,0.2,6.8
"69",160,17015,"AK?AKOCA",2009,6,9,2009-06-09,NA,0,20.2
"70",161,17015,"AK?AKOCA",2009,6,10,2009-06-10,NA,0,21.2
"71",162,17015,"AK?AKOCA",2009,6,11,2009-06-11,NA,0,21.2
"72",163,17015,"AK?AKOCA",2009,6,12,2009-06-12,NA,0,21.1
"73",164,17015,"AK?AKOCA",2009,6,13,2009-06-13,3.2,2.8,19.4
"74",165,17015,"AK?AKOCA",2009,6,14,2009-06-14,20.5,19.6,18.1
"75",166,17015,"AK?AKOCA",2009,6,15,2009-06-15,NA,0,18.2
"76",167,17015,"AK?AKOCA",2009,6,16,2009-06-16,NA,0,18.2
"77",168,17015,"AK?AKOCA",2009,6,17,2009-06-17,NA,0,18.8
"78",169,17015,"AK?AKOCA",2009,6,18,2009-06-18,NA,0,19.1
"79",17,17015,"AK?AKOCA",2009,1,17,2009-01-17,9.8,8.8,6.5
"80",170,17015,"AK?AKOCA",2009,6,19,2009-06-19,2.6,2.4,16.9
"81",171,17015,"AK?AKOCA",2009,6,20,2009-06-20,NA,0.2,18
"82",172,17015,"AK?AKOCA",2009,6,21,2009-06-21,NA,0,18.9
"83",173,17015,"AK?AKOCA",2009,6,22,2009-06-22,NA,0,20.4
"84",174,17015,"AK?AKOCA",2009,6,23,2009-06-23,NA,0,23.4
"85",175,17015,"AK?AKOCA",2009,6,24,2009-06-24,0,0,22.2
"86",176,17015,"AK?AKOCA",2009,6,25,2009-06-25,0,0,23.1
"87",177,17015,"AK?AKOCA",2009,6,26,2009-06-26,2.2,1.4,20.2
"88",178,17015,"AK?AKOCA",2009,6,27,2009-06-27,0.2,0.2,21.1
"89",179,17015,"AK?AKOCA",2009,6,28,2009-06-28,NA,0,21.6
"90",18,17015,"AK?AKOCA",2009,1,18,2009-01-18,11.6,12.2,3.3
"91",180,17015,"AK?AKOCA",2009,6,29,2009-06-29,0.1,0,21.5
"92",181,17015,"AK?AKOCA",2009,6,30,2009-06-30,6.9,6.8,22.1
"93",182,17015,"AK?AKOCA",2009,7,1,2009-07-01,NA,0.2,21.4
"94",183,17015,"AK?AKOCA",2009,7,2,2009-07-02,NA,0,22.3
"95",184,17015,"AK?AKOCA",2009,7,3,2009-07-03,1.8,1.6,23.6
"96",185,17015,"AK?AKOCA",2009,7,4,2009-07-04,NA,0.2,23.4
"97",186,17015,"AK?AKOCA",2009,7,5,2009-07-05,NA,0,22.7
"98",187,17015,"AK?AKOCA",2009,7,6,2009-07-06,0.2,0,22.4
"99",188,17015,"AK?AKOCA",2009,7,7,2009-07-07,NA,0,23.1
"100",189,17015,"AK?AKOCA",2009,7,8,2009-07-08,NA,0,23.8
"101",19,17015,"AK?AKOCA",2009,1,19,2009-01-19,NA,0.2,5.5
"102",190,17015,"AK?AKOCA",2009,7,9,2009-07-09,NA,0,22.9
"103",191,17015,"AK?AKOCA",2009,7,10,2009-07-10,NA,0,22.9
"104",192,17015,"AK?AKOCA",2009,7,11,2009-07-11,NA,0,24.4
"105",193,17015,"AK?AKOCA",2009,7,12,2009-07-12,NA,0,23.9
"106",194,17015,"AK?AKOCA",2009,7,13,2009-07-13,31.2,0,24.7
"107",2,17015,"AK?AKOCA",2009,1,2,2009-01-02,2.6,0.2,1.6
"108",20,17015,"AK?AKOCA",2009,1,20,2009-01-20,NA,0,9.3
"109",21,17015,"AK?AKOCA",2009,1,21,2009-01-21,NA,0,6.4
"110",22,17015,"AK?AKOCA",2009,1,22,2009-01-22,NA,0,7.5
"111",23,17015,"AK?AKOCA",2009,1,23,2009-01-23,NA,0,11.3
"112",24,17015,"AK?AKOCA",2009,1,24,2009-01-24,4.8,3.8,14.8
"113",25,17015,"AK?AKOCA",2009,1,25,2009-01-25,NA,0,14.1
"114",26,17015,"AK?AKOCA",2009,1,26,2009-01-26,1.9,1.8,15
"115",27,17015,"AK?AKOCA",2009,1,27,2009-01-27,3.1,4,12.3
"116",28,17015,"AK?AKOCA",2009,1,28,2009-01-28,NA,0,11
"117",29,17015,"AK?AKOCA",2009,1,29,2009-01-29,5.2,6,9.9
"118",3,17015,"AK?AKOCA",2009,1,3,2009-01-03,1.2,0.4,3.6
"119",30,17015,"AK?AKOCA",2009,1,30,2009-01-30,17.7,15.6,6.8
"120",31,17015,"AK?AKOCA",2009,1,31,2009-01-31,0.9,0.4,5.8
"121",32,17015,"AK?AKOCA",2009,2,1,2009-02-01,2.6,2.2,5.8
"122",33,17015,"AK?AKOCA",2009,2,2,2009-02-02,1,0.8,6.4
"123",34,17015,"AK?AKOCA",2009,2,3,2009-02-03,NA,0,4.2
"124",35,17015,"AK?AKOCA",2009,2,4,2009-02-04,1.3,0.8,10.4
"125",36,17015,"AK?AKOCA",2009,2,5,2009-02-05,NA,0,15.5
"126",37,17015,"AK?AKOCA",2009,2,6,2009-02-06,1,0.8,12.5
"127",38,17015,"AK?AKOCA",2009,2,7,2009-02-07,NA,0,11.3
"128",39,17015,"AK?AKOCA",2009,2,8,2009-02-08,0.9,0,13.2
"129",4,17015,"AK?AKOCA",2009,1,4,2009-01-04,10.6,10.2,3.5
"130",40,17015,"AK?AKOCA",2009,2,9,2009-02-09,10.8,9.4,12.2
"131",41,17015,"AK?AKOCA",2009,2,10,2009-02-10,14.8,12.6,8.2
"132",42,17015,"AK?AKOCA",2009,2,11,2009-02-11,15.2,14.2,6.8
"133",43,17015,"AK?AKOCA",2009,2,12,2009-02-12,0.1,0,12.7
"134",44,17015,"AK?AKOCA",2009,2,13,2009-02-13,11.4,9.6,9.3
"135",45,17015,"AK?AKOCA",2009,2,14,2009-02-14,7.2,7.2,8.3
"136",46,17015,"AK?AKOCA",2009,2,15,2009-02-15,10.7,8.6,6.2
"137",47,17015,"AK?AKOCA",2009,2,16,2009-02-16,18.8,18.2,3.9
"138",48,17015,"AK?AKOCA",2009,2,17,2009-02-17,18.2,18.2,2.9
"139",49,17015,"AK?AKOCA",2009,2,18,2009-02-18,NA,0,5.5
"140",5,17015,"AK?AKOCA",2009,1,5,2009-01-05,17.4,13.4,4.9
"141",50,17015,"AK?AKOCA",2009,2,19,2009-02-19,0.5,0.2,9.8
"142",51,17015,"AK?AKOCA",2009,2,20,2009-02-20,2.6,2,8.9
"143",52,17015,"AK?AKOCA",2009,2,21,2009-02-21,NA,0,5.3
"144",53,17015,"AK?AKOCA",2009,2,22,2009-02-22,13.3,11.4,3.2
"145",54,17015,"AK?AKOCA",2009,2,23,2009-02-23,0.2,0,3.7
"146",55,17015,"AK?AKOCA",2009,2,24,2009-02-24,3.7,3.2,5.2
"147",56,17015,"AK?AKOCA",2009,2,25,2009-02-25,7.7,6.8,5
"148",57,17015,"AK?AKOCA",2009,2,26,2009-02-26,0.6,0.2,5.2
"149",58,17015,"AK?AKOCA",2009,2,27,2009-02-27,34,33.2,4.4
"150",59,17015,"AK?AKOCA",2009,2,28,2009-02-28,22.4,20.8,4.3
"151",6,17015,"AK?AKOCA",2009,1,6,2009-01-06,10.5,9.8,4.7
"152",60,17015,"AK?AKOCA",2009,3,1,2009-03-01,0.5,0.2,4.9
"153",61,17015,"AK?AKOCA",2009,3,2,2009-03-02,0.5,0,7
"154",62,17015,"AK?AKOCA",2009,3,3,2009-03-03,16.4,12.4,5.1
"155",63,17015,"AK?AKOCA",2009,3,4,2009-03-04,NA,0,6.6
"156",64,17015,"AK?AKOCA",2009,3,5,2009-03-05,NA,0,9.1
"157",65,17015,"AK?AKOCA",2009,3,6,2009-03-06,0.4,0,17.6
"158",66,17015,"AK?AKOCA",2009,3,7,2009-03-07,0,0,14
"159",67,17015,"AK?AKOCA",2009,3,8,2009-03-08,6.1,6.6,10.1
"160",68,17015,"AK?AKOCA",2009,3,9,2009-03-09,4.6,4.4,9.2
"161",69,17015,"AK?AKOCA",2009,3,10,2009-03-10,0.6,0.6,10.3
"162",7,17015,"AK?AKOCA",2009,1,7,2009-01-07,9.8,9.8,5.9
"163",70,17015,"AK?AKOCA",2009,3,11,2009-03-11,5.9,5.2,7.3
"164",71,17015,"AK?AKOCA",2009,3,12,2009-03-12,0.5,0.8,5.4
"165",72,17015,"AK?AKOCA",2009,3,13,2009-03-13,4.3,3.4,6.7
"166",73,17015,"AK?AKOCA",2009,3,14,2009-03-14,5.8,4.4,4.7
"167",74,17015,"AK?AKOCA",2009,3,15,2009-03-15,12.5,12.4,5.4
"168",75,17015,"AK?AKOCA",2009,3,16,2009-03-16,4.2,4,5.7
"169",76,17015,"AK?AKOCA",2009,3,17,2009-03-17,1,0.6,5.9
"170",77,17015,"AK?AKOCA",2009,3,18,2009-03-18,0.7,0.4,4.7
"171",78,17015,"AK?AKOCA",2009,3,19,2009-03-19,2.8,2.8,4.6
"172",79,17015,"AK?AKOCA",2009,3,20,2009-03-20,20.3,20.2,5.4
"173",8,17015,"AK?AKOCA",2009,1,8,2009-01-08,0.5,0.4,3.4
"174",80,17015,"AK?AKOCA",2009,3,21,2009-03-21,NA,0,3.6
"175",81,17015,"AK?AKOCA",2009,3,22,2009-03-22,1.5,0.8,6.1
"176",82,17015,"AK?AKOCA",2009,3,23,2009-03-23,5.5,5.2,6.8
"177",83,17015,"AK?AKOCA",2009,3,24,2009-03-24,1.6,1.4,7.4
"178",84,17015,"AK?AKOCA",2009,3,25,2009-03-25,NA,0.2,11.6
"179",85,17015,"AK?AKOCA",2009,3,26,2009-03-26,1.9,1.4,7.9
"180",86,17015,"AK?AKOCA",2009,3,27,2009-03-27,13.6,12,5.6
"181",87,17015,"AK?AKOCA",2009,3,28,2009-03-28,2.7,1.8,4.1
"182",88,17015,"AK?AKOCA",2009,3,29,2009-03-29,NA,0,4.8
"183",89,17015,"AK?AKOCA",2009,3,30,2009-03-30,NA,0,11.1
"184",9,17015,"AK?AKOCA",2009,1,9,2009-01-09,14.4,9,3.3
"185",90,17015,"AK?AKOCA",2009,3,31,2009-03-31,NA,0,12.5
"186",91,17015,"AK?AKOCA",2009,4,1,2009-04-01,0.2,0,8.6
"187",92,17015,"AK?AKOCA",2009,4,2,2009-04-02,NA,0,9.5
"188",93,17015,"AK?AKOCA",2009,4,3,2009-04-03,NA,0,9.3
"189",94,17015,"AK?AKOCA",2009,4,4,2009-04-04,NA,0,7
"190",95,17015,"AK?AKOCA",2009,4,5,2009-04-05,NA,0,7.5
"191",96,17015,"AK?AKOCA",2009,4,6,2009-04-06,NA,0,7.7
"192",97,17015,"AK?AKOCA",2009,4,7,2009-04-07,17.6,15.2,9.4
"193",98,17015,"AK?AKOCA",2009,4,8,2009-04-08,0.5,0.2,10.6
"194",99,17015,"AK?AKOCA",2009,4,9,2009-04-09,NA,0.2,9
